英国AB农业有限公司	英美烟草	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	英国AB农业有限公司
瑞安公司	斯道拉恩索	"	Seminis Inc. I Seminis Inc."	Syngenta Company	以色列OTL科技有限公司	菲利普·莫里斯集团	瑞安公司	路易达孚	芬兰木业总公司	裴顿农场	以色列OTL科技有限公司	农天利(北京)贸易有限公司	菲利普?莫里斯集团	以色列OTL科技有限公司	以色列OTL科技有限公司	嘉吉公司
Roellier集团	斯道拉恩索	"	Syngenta Company I Syngenta Company"	惠好公司	PIC国际集团	PIC国际集团	英国翠康（香港）有限公司	孟山都	克里莫	PIC国际集团	菲利普?莫里斯集团	韩国农友BIO株式会社	PIC国际集团	菲利普?莫里斯集团	菲利普?莫里斯集团	正大集团
三林集团	斯道拉恩索	"	Syngenta Company I Syngenta Company"	惠好公司	瑞安公司	瑞安公司	Syngenta Company	韩国农业协同组合中央会	乐斯福(明光)有限公司	瑞安公司	菲利普?莫里斯集团	"	以色列OTL科技有限公司"	瑞安公司	菲利普?莫里斯集团	菲利普?莫里斯集团	正大集团
Syngenta Company	先正达投资	"	Syngenta Company I Syngenta Company"	俄罗斯航空公司	英国翠康（香港）有限公司	英国翠康（香港）有限公司	TS集团	耐特菲姆公司	路易达孚	"1	Seminis Inc. Seminis Inc."	PIC国际集团	菲利普?莫里斯集团	Syngenta Company	PIC国际集团	PIC国际集团	正大集团
TS集团	新西兰天龙林业	"	Syngenta Company I Syngenta Company"	俄罗斯航空公司	Syngenta Company	Syngenta Company	惠好公司	荷兰泰高国际集团	孟山都	I Syngenta Company Syngenta Company	瑞安公司	菲利普?莫里斯集团	Syngenta Company	瑞安公司	瑞安公司	正大集团
惠好公司	联合发展有限公司	Its集团	I空中世界乌克兰航空	Syngenta Company	Syngenta Company	俄罗斯航空公司	裴顿农场	韩国农业协同组合中央会	I Syngenta Company Syngenta Company	英国翠康(香港)有限公司	PIC国际集团	Syngenta Company	三林集团	三林集团	正大集团
俄罗斯航空公司	美国领事馆农业贸易处	□WeyerhaeuserCompany惠好公司	加拿大航空公司	Syngenta Company	Syngenta Company	空中世界乌克兰航空	PIC国际集团	耐特菲姆公司	I Syngenta Company Syngenta Company	Syngenta Company	瑞安公司	Syngenta Company	Syngenta Company	Syngenta Company	凯斯纽荷兰
空中世界乌克兰航空	美国谷物协会	□WeyerhaeuserCompany惠好公司	加拿大航空公司	Syngenta Company	Syngenta Company	加拿大航空公司	瑞安公司	韩国农友BIO株式会社	美国谷物协会	Syngenta Company	英国翠康(香港)有限公司	TS集团	Syngenta Company	Syngenta Company	凯斯纽荷兰
加拿大航空公司	加拿大国际航空公司	I俄罗斯航空公司	加拿大航空公司	TS集团	TS集团	加拿大航空公司	圣尼斯种子	Nut reco Holding N.V.	United Phosphorus Limited	Syngenta Company	Syngenta Company	惠好公司	Syngenta Company	Syngenta Company	中粮艾地盟粮油工业(菏泽)有限公司
法国航空-荷兰皇家航空集团	加拿大国际航空公司	I俄罗斯航空公司	西班牙欧洲航空公司	惠好公司	惠好公司	法国航空-荷兰皇家航空集团	美国辛普劳公司	裴顿农场	"Universal Data, Inc?"	Syngenta Company	Syngenta Company	惠好公司	Syngenta Company	Syngenta Company	"ContiGroup Companies, Inc."
印度航空	法国航空公司	I空中世界乌克兰航空	法国航空公司	惠好公司	俄罗斯航空公司	法国航空-荷兰皇家航空集团	先正达	PIC国际集团	美国领事馆农业贸易处	TS集团	Syngenta Company	俄罗斯航空公司	TS集团	TS集团	利拉伐
澳门航空公司	法国航空公司	加拿大航空公司	法国航空公司	俄罗斯航空公司	空中世界乌克兰航空	法国航空-荷兰皇家航空集团	先正达	瑞安公司	惠好公司	惠好公司	Syngenta Company	俄罗斯航空公司	惠好公司	惠好公司	利拉伐
毛里求斯航空公司	法国航空公司	加拿大航空公司	法国航空公司	俄罗斯航空公司	加拿大航空公司	法国航空-荷兰皇家航空集团	先正达	Seminis Inc?	惠好公司	惠好公司	TS集团	空中世界乌克兰航空	惠好公司	惠好公司	利拉伐
新西兰航空	法国航空公司	加拿大航空公司	法国航空公司	空中世界乌克兰航空	加拿大航空公司	法国航空-荷兰皇家航空集团	先正达	美国辛普劳公司	俄罗斯航空公司	俄罗斯航空公司	惠好公司	"I	加拿大航空公司"	俄罗斯航空公司	嘉吉公司	西班牙艾诺斯种业有限公司
全日空	印度航空	西班牙欧洲航空公司	印度航空	加拿大航空公司	加拿大航空公司	印度航空	联合发展有限公司	苏州帝凯维动物有限公司	俄罗斯航空公司	俄罗斯航空公司	惠好公司	"I	加拿大航空公司"	俄罗斯航空公司	嘉吉公司	克里莫
美国航空公司	澳门航空公司	法国航空公司	澳门航空公司	加拿大航空公司	法国航空公司	澳门航空公司	UPL Online	Syngenta Company	空中世界乌克兰航空	空中世界乌克兰航空	俄罗斯航空公司	法国航空侖兰皇家航空集团	空中世界乌克兰航空	嘉吉公司	光兆工业森林生物科技集团有限公司
韩亚航空	意大利航空公司	法国航空公司	I意大利航空公司	加拿大航空公司	法国航空公司	新西兰航空	美国领事馆农业贸易处	Syngenta Company	加拿大航空公司	"I	加拿大航空公司"	俄罗斯航空公司	法国航空侖兰皇家航空集团	"I	加拿大航空公司"	嘉吉公司	海泽拉优质种子公司
ATR	意大利航空公司	法国航空公司	I意大利航空公司	法国航空公司	法国航空公司	全日空	美国谷物协会	Syngenta Company	加拿大航空公司	"I	加拿大航空公司"	空中世界乌克兰航空	法国航空侖兰皇家航空集团	"I	加拿大航空公司"	嘉吉公司	香港怡兴种业
英国航空公司	全日空	法国航空公司	全日空	法国航空公司	法国航空公司	全日空	俄罗斯航空	"Universal Data, Inc?"	加拿大航空公司	"I	加拿大航空公司"	加拿大航空公司	法国航空侖兰皇家航空集团	法国航空侖兰皇家航空集团	嘉吉公司	帝国烟草公司
布鲁塞尔航空公司	全日空	印度航空	全日空	法国航空公司	印度航空	美国航空公司	俄罗斯航空	]uPL Online	西班牙欧洲航空公司	法国航空公司	加拿大航空公司	法国航空侖兰皇家航空集团	法国航空侖兰皇家航空集团	俄罗斯航空公司	美国辛普劳公司
卢森堡货运航空公司	全日空	澳门航空公司	全日空	印度航空	澳门航空公司	美国航空公司	加拿大航空公司	美国领事馆农业贸易处	法国航空公司	法国航空公司	加拿大航空公司	法国航空侖兰皇家航空集团	法国航空侖兰皇家航空集团	俄罗斯航空公司	柯诺木业
国泰航空有限公司	全日空	I意大利航空公司	全日空	澳门航空公司	全日空	韩亚航空	加拿大航空公司	美国谷物协会	法国航空公司	法国航空公司	印度航空	法国航空侖兰皇家航空集团	法国航空侖兰皇家航空集团	空中世界乌克兰航空	法国乐斯福集团
中华航空公司	全日空	I意大利航空公司	全日空	意大利航空公司	美国航空公司	韩亚航空	欧洲航空公司	惠好公司	法国航空公司	法国航空公司	澳门航空公司	印度航空	法国航空侖兰皇家航空集团	"I	加拿大航空公司"	法国乐斯福集团
中国东方航空集团	美国航空公司	I全日空	美国航空公司	意大利航空公司	韩亚航空	韩亚航空	法国航空公司	俄罗斯航空	法国航空公司	法国航空公司	全日空	澳门航空公司	法国航空侖兰皇家航空集团	"I	加拿大航空公司"	利马格兰集团
美国大陆航空公司	韩亚航空	I全日空	美国航空公司	全日空	韩亚航空	韩亚航空	法国航空公司	俄罗斯航空	印度航空	印度航空	全日空	新西兰航空	法国航空侖兰皇家航空集团	法国航空侖兰皇家航空集团	路易达孚
美国达美航空公司	韩亚航空	I全日空	美国航空公司	全日空	韩亚航空	韩亚航空	法国航空公司	空中世界乌克兰航空	澳门航空公司	澳门航空公司	全日空	全日空	印度航空	法国航空侖兰皇家航空集团	耐特菲姆公司
国泰港龙航空	韩亚航空	I全日空	AustrianAirlines奥地利航空公司	全日空	韩亚航空	韩亚航空	法国航空公司	］加拿大航空公司	意大利航空公司	全日空	全日空	全日空	澳门航空公司	法国航空侖兰皇家航空集团	来宝集团
埃及航空公司	韩亚航空	I全日空	AustrianAirlines奥地利航空公司	全日空	韩亚航空	韩亚航空	印度航空	］加拿大航空公司	意大利航空公司	全日空	全日空	全日空	毛里求斯航空公司	法国航空侖兰皇家航空集团	农天利(北京)贸易有限公司
以色列航空公司	韩亚航空	I全日空	AustrianAirlines奥地利航空公司	全日空	韩亚航空	韩亚航空	澳门航空公司	欧洲航空公司	全日空	全日空	美国航空公司	全日空	新西兰航空	法国航空侖兰皇家航空集团	韩国农友BIO株式会社
Emirates	韩亚航空	美国航空公司	韩亚航空	美国航空公司	韩亚航空	韩亚航空	意大利航空公司	法国航空公司	全日空	全日空	美国航空公司	全日空	全日空	法国航空侖兰皇家航空集团	以色列OTL科技有限公司
埃塞俄比亚航空公司	奥地利航空公司	美国航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	全日空	法国航空公司	全日空	全日空	韩亚航空	"	美国航空公司"	全日空	法国航空侖兰皇家航空集团	菲利普?莫里斯集团
阿联酋阿提哈德航空公司	奥地利航空公司	美国航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	美国航空公司	法国航空公司	全日空	美国航空公司	韩亚航空	"	美国航空公司"	全日空	印度航空	菲利普?莫里斯集团
台湾长荣航空公司	英国航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	美国航空公司	法国航空公司	全日空	美国航空公司	韩亚航空	韩亚航空	全日空	澳门航空公司	PIC国际集团
芬兰航空公司	国泰航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	美国航空公司	印度航空	全日空	韩亚航空	韩亚航空	韩亚航空	全日空	毛里求斯航空公司	瑞安公司
关岛航空公司	大陆航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	澳门航空公司	美国航空公司	韩亚航空	韩亚航空	韩亚航空	美国航空公司	新西兰航空	三林集团
印度尼西亚鹰航空公司	大陆航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	意大利航空公司	美国航空公司	韩亚航空	韩亚航空	韩亚航空	美国航空公司	全日空	Syngenta Company
长城航空有限公司	德尔塔航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	泰国曼谷航空公司	韩亚航空	意大利航空公司	美国航空公司	韩亚航空	韩亚航空	韩亚航空	美国航空公司	全日空	Syngenta Company
冰岛航空公司	港龙航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	英国航空公司	韩亚航空	全日空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	全日空	Syngenta Company
伊朗航空公司	港龙航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	布鲁塞尔航空公司	韩亚航空	全日空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	全日空	Syngenta Company
日本航空公司	港龙航空	韩亚航空	韩亚航空	韩亚航空	奥地利航空公司	卢森堡航空公司	韩亚航空	全日空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	全日空	TS集团
上海吉祥航空有限公司	港龙航空	韩亚航空	韩亚航空	韩亚航空	奥地利航空公司	国泰航空有限公司	韩亚航空	全日空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	美国航空公司	惠好公司
大韩航空	港龙航空	韩亚航空	韩亚航空	韩亚航空	英国航空公司	中华航空公司	韩亚航空	美国航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	美国航空公司	惠好公司
LAN Airlines S.A.	以色列航空公司	韩亚航空	韩亚航空	韩亚航空	英国航空公司	美国大陆航空公司	韩亚航空	美国航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	美国航空公司	俄罗斯航空公司
德国汉莎货运航空公司	阿联酋国际航空	韩亚航空	韩亚航空	韩亚航空	布鲁塞尔航空公司	美国大陆航空公司	韩亚航空	美国航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	俄罗斯航空公司
德国汉莎航空公司	芬兰航空公司	韩亚航空	韩亚航空	韩亚航空	卢森堡航空公司	美国达美航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	空中世界乌克兰航空
马来西亚航空公司	芬兰航空公司	韩亚航空	韩亚航空	韩亚航空	国泰航空有限公司	港龙航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	加拿大航空公司
蒙古航空公司	芬兰航空公司	韩亚航空	韩亚航空	韩亚航空	中华航空公司	港龙航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	加拿大航空公司
美国西北航空	芬兰航空公司	韩亚航空	Atlas Air Worldwide Holdings	韩亚航空	中华航空公司	埃及航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
巴基斯坦航空	印尼航空	韩亚航空	Atlas Air Worldwide Holdings	Atlas Air Worldwide Holdings	美国大陆航空公司	以色列航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	英国航空公司	韩亚航空	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
菲律宾航空公司	伊朗航空公司	韩亚航空	I英国航空公司	Atlas Air Worldwide Holdings	美国大陆航空公司	Emirates	韩亚航空	韩亚航空	韩亚航空	韩亚航空	英国航空公司	韩亚航空	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
美国博立航空公司	日本航空	"I Atlas Air Worldwide 	Holdings"	I英国航空公司	奥地利航空公司	美国达美航空公司	埃塞俄比亚航空公司	韩亚航空	韩亚航空	韩亚航空	韩亚航空	布鲁塞尔航空公司	英国航空公司	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
波兰航空	日本航空	"I Atlas Air Worldwide 	Holdings"	I英国航空公司	奥地利航空公司	港龙航空	台湾长荣航空公司	奥地利航空公司	韩亚航空	韩亚航空	"	奥地利航空公司"	卢森堡航空公司	英国航空公司	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
澳大利亚澳洲航空公司	日本航空	奥地利航空公司	I卢森堡航空公司	奥地利航空公司	港龙航空	芬兰航空公司	奥地利航空公司	韩亚航空	韩亚航空	"	奥地利航空公司"	卢森堡航空公司	布鲁塞尔航空公司	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
卡塔尔航空公司	日本航空	奥地利航空公司	I卢森堡航空公司	英国航空公司	埃及航空公司	芬兰航空公司	奥地利航空公司	韩亚航空	韩亚航空	"	奥地利航空公司"	国泰航空有限公司	卢森堡航空公司	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
俄罗斯环空航空公司	荷兰皇家航空公司	奥地利航空公司	国泰航空有限公司	英国航空公司	以色列航空公司	芬兰航空公司	奥地利航空公司	韩亚航空	韩亚航空	英国航空公司	中华航空公司	卢森堡航空公司	韩亚航空	韩亚航空	法国航空-荷兰皇家航空集团
北欧航空公司	荷兰皇家航空公司	"	British Airways"	国泰航空有限公司	布鲁塞尔航空公司	Emirates	芬兰航空公司	奥地利航空公司	韩亚航空	Atlas Air Worldwide Holdings	英国航空公司	中华航空公司	国泰航空有限公司	英国航空公司	韩亚航空	印度航空
上海航空股份有限公司	荷兰皇家航空公司	"	British Airways"	国泰航空有限公司	卢森堡航空公司	埃塞俄比亚航空公司	印度尼西亚鹰航空公司	英国航空公司	韩亚航空	Atlas Air Worldwide Holdings	布鲁塞尔航空公司	中华航空公司	"	中华航空公司"	英国航空公司	韩亚航空	澳门航空公司
新加坡胜安航空公司	韩国航空	"	British Airways"	国泰航空有限公司	卢森堡航空公司	台湾长荣航空公司	印度尼西亚鹰航空公司	英国航空公司	韩亚航空	奥地利航空公司	卢森堡航空公司	中华航空公司	"	中华航空公司"	英国航空公司	韩亚航空	毛里求斯航空公司
新加坡航空公司	韩国航空	"	British Airways"	中华航空公司	国泰航空有限公司	荷兰银行	印度尼西亚鹰航空公司	百瑞	韩亚航空	奥地利航空公司	卢森堡航空公司	中华航空公司	"	中华航空公司"	"	布鲁塞尔航空公司"	韩亚航空	新西兰航空
斯里兰卡航空公司	德国汉莎航空公司	"I Cargolux Airlines 	International S.A."	中华航空公司	中华航空公司	荷兰银行	冰岛航空公司	卢森堡航空公司	韩亚航空	奥地利航空公司	国泰航空有限公司	美国大陆航空公司	"	中华航空公司"	卢森堡航空公司	韩亚航空	全日空
